"id","city","state","lat","long"
400,"Fruitvale","WA","46.6179","-120.5531"
401,"Port Hadlock","WA","48.0318","-122.7582"
402,"University Place","WA","47.2148","-122.5460"
403,"Morton","WA","46.5575","-122.2815"
404,"Deep River","WA","46.3521","-123.6984"
405,"Elberton","WA","46.9813","-117.2213"
406,"Kingston","WA","47.8014","-122.4989"
407,"Silverton","WA","48.0784","-121.5671"
408,"Vader","WA","46.4045","-122.9569"
409,"Donald","WA","46.4737","-120.3923"
410,"Miles","WA","47.9107","-118.2925"
411,"Asotin","WA","46.3371","-117.0433"
412,"Joyce","WA","48.1365","-123.7341"
413,"Eagledale","WA","47.6143","-122.5154"
414,"Port Ludlow","WA","47.9101","-122.7006"
415,"Loomis","WA","48.8235","-119.6398"
416,"New London","WA","47.0573","-123.9271"
417,"Desert Aire","WA","46.6873","-119.9311"
418,"Poulsbo","WA","47.7417","-122.6407"
419,"Cedonia","WA","48.1538","-118.1692"
420,"Union","WA","47.3475","-123.0952"
421,"Suquamish","WA","47.7237","-122.5830"
422,"Deep Creek","WA","47.6429","-117.7122"
423,"Yoman","WA","47.1865","-122.7062"
424,"Cordell","WA","48.8665","-119.4120"
425,"Hoquiam","WA","46.9863","-123.9023"
426,"Hay","WA","46.6788","-117.9158"
427,"Nespelem","WA","48.1670","-118.9722"
428,"Ephrata","WA","47.3119","-119.5344"
429,"Kent","WA","47.3887","-122.2128"
430,"Mukilteo","WA","47.9094","-122.3035"
431,"Boise","WA","47.1804","-122.0157"
432,"Kirkland","WA","47.6997","-122.2041"
433,"Waitsburg","WA","46.2696","-118.1510"
434,"Ridgecrest","WA","47.7473","-122.3179"
435,"Freeman","WA","47.5182","-117.1958"
436,"Dallesport","WA","45.6316","-121.1749"
437,"Redmond","WA","47.6762","-122.1166"
438,"Wilkeson","WA","47.1034","-122.0495"
439,"Sisco Heights","WA","48.1188","-122.1076"
440,"Lewisville","WA","45.8127","-122.5144"
441,"Kennard Corner","WA","47.8201","-122.2076"
442,"Benge","WA","46.9093","-118.1025"
443,"Granger","WA","46.3455","-120.1925"
444,"Yarrow Point","WA","47.6452","-122.2179"
445,"Lost Creek","WA","48.6094","-117.3636"
446,"Moxee City","WA","46.5537","-120.3831"
447,"Hockinson","WA","45.7301","-122.4833"
448,"Oakville","WA","46.8403","-123.2333"
449,"Tukwila","WA","47.4748","-122.2727"
450,"Mabana","WA","48.0945","-122.4151"
451,"Kangley","WA","47.3618","-121.8801"
452,"Clallam Bay","WA","48.2536","-124.2579"
453,"Newport","WA","48.1790","-117.0549"
454,"Enetai","WA","47.5885","-122.6058"
455,"Clearview","WA","47.8292","-122.1452"
456,"Sahalee","WA","47.6348","-122.0554"
457,"Yelm","WA","46.9398","-122.6261"
458,"Midway","WA","47.3048","-122.5896"
459,"Olympia","WA","47.0418","-122.8959"
460,"Endicott","WA","46.9282","-117.6868"
461,"Lind","WA","46.9703","-118.6162"
462,"Fife","WA","47.2328","-122.3517"
463,"Newport Hills","WA","47.5409","-122.1765"
464,"Upper Mill","WA","47.1934","-121.9271"
465,"Upper Preston","WA","47.5051","-121.9076"
466,"Pateros","WA","48.0536","-119.8994"
467,"Nordland","WA","48.0509","-122.6910"
468,"Tyler","WA","47.4360","-117.7835"
469,"Camden","WA","48.0474","-117.2399"
470,"Palisades","WA","47.4190","-119.9145"
471,"Rockport","WA","48.4854","-121.6065"
472,"Port Orchard","WA","47.5160","-122.6615"
473,"Preston","WA","47.5237","-121.9271"
474,"Tieton","WA","46.7026","-120.7560"
475,"Rochester","WA","46.8288","-123.0722"
476,"Bingen","WA","45.7139","-121.4704"
477,"Harbour Pointe","WA","47.8857","-122.3051"
478,"Wellpinit","WA","47.8879","-117.9880"
479,"Glacier","WA","48.8902","-121.9323"
480,"Farmington","WA","47.0887","-117.0464"
481,"Eastsound","WA","48.6968","-122.9055"
482,"Central Park","WA","46.9705","-123.7018"
483,"Bremerton","WA","47.5436","-122.7122"
484,"Friday Harbor","WA","48.5324","-123.0656"
485,"Carnation","WA","47.6446","-121.9048"
486,"Lake Shore","WA","45.6911","-122.6911"
487,"Houghton","WA","47.6609","-122.2060"
488,"Lester","WA","47.2093","-121.4940"
489,"Lake Stevens","WA","48.0029","-122.0960"
490,"Mineral","WA","46.7193","-122.1859"
491,"Lake Stickney","WA","47.8709","-122.2596"
492,"Acme","WA","48.7146","-122.2293"
493,"Oyehut","WA","47.0232","-124.1631"
494,"Mossyrock","WA","46.5305","-122.4887"
495,"Bridgeport","WA","48.0063","-119.6737"
496,"Fobes Hill","WA","47.9391","-122.1341"
497,"Rosario","WA","48.6487","-122.8760"
498,"Brewster","WA","48.1034","-119.7751"
499,"Fox Island","WA","47.2475","-122.6255"
500,"Canyon Park","WA","47.7909","-122.1926"
501,"Rock Island","WA","47.3743","-120.1382"
502,"High Rock","WA","47.8129","-121.9826"
503,"Rockford","WA","47.4513","-117.1307"
504,"Erlands Point","WA","47.5998","-122.6929"
505,"Montesano","WA","47.0102","-123.5858"
506,"Gorst","WA","47.5237","-122.7057"
507,"Johnson","WA","46.6316","-117.1379"
508,"Alderton","WA","47.1718","-122.2192"
509,"Dusty","WA","46.8102","-117.6519"
510,"Tekoa","WA","47.2247","-117.0731"
511,"Bay Center","WA","46.6211","-123.9533"
512,"La Center","WA","45.8586","-122.6767"
513,"Mazama","WA","48.5921","-120.4040"
514,"Selleck","WA","47.3757","-121.8684"
515,"Amanda Park","WA","47.4532","-123.9194"
516,"Doris","WA","46.8676","-120.0098"
517,"Sunnydale","WA","47.4632","-122.3337"
518,"Van Zandt","WA","48.7890","-122.1918"
519,"McDonald","WA","47.0713","-119.2156"
520,"Moclips","WA","47.2348","-124.2025"
521,"Ocean Park","WA","46.4961","-124.0443"
522,"West Valley","WA","46.5921","-120.6051"
523,"Thompson Place","WA","47.0554","-122.7835"
524,"Dungeness","WA","48.1468","-123.1232"
525,"Birch Bay","WA","48.9230","-122.7543"
526,"Stratford","WA","47.4268","-119.2816"
527,"Ione","WA","48.7402","-117.4223"
528,"Tacoma","WA","47.2431","-122.4531"
529,"Barberton","WA","45.7136","-122.6114"
530,"Yacolt","WA","45.8650","-122.4059"
531,"Coulee Dam","WA","47.9688","-118.9761"
532,"Almota","WA","46.7029","-117.4694"
533,"Skamokawa","WA","46.2704","-123.4571"
534,"Woodinville","WA","47.7569","-122.1478"
535,"Swinomish Village","WA","48.4082","-122.5113"
536,"Methow","WA","48.1289","-120.0056"
537,"Bay View","WA","48.4870","-122.4628"
538,"Newaukum","WA","47.2573","-122.1018"
539,"Kalaloch","WA","47.6045","-124.3724"
540,"Meadow Glade","WA","45.7524","-122.5614"
541,"Disautel","WA","48.3450","-119.2299"
542,"Copalis Crossing","WA","47.1079","-124.0693"
543,"Burley","WA","47.4166","-122.6377"
544,"Riverside","WA","48.5047","-119.5102"
545,"Ocean Shores","WA","46.9685","-124.1521"
546,"Bethel","WA","47.4874","-122.6175"
547,"Grisdale","WA","47.3570","-123.6124"
548,"South Hill","WA","47.1203","-122.2848"
549,"Island View","WA","46.2393","-119.2233"
550,"Winona","WA","46.9457","-117.8005"
551,"Leadpoint","WA","48.9094","-117.5875"
552,"Brooklyn","WA","46.7762","-123.5099"
553,"Mansfield","WA","47.8119","-119.6380"
554,"Sequim","WA","48.0747","-123.0944"
555,"Esperance","WA","47.7937","-122.3469"
556,"Springdale","WA","48.0572","-117.7466"
557,"Okanogan","WA","48.3671","-119.5783"
558,"Cedar Mountain","WA","47.4482","-122.0732"
559,"Moses Lake","WA","47.1285","-119.2741"
560,"Littlerock","WA","46.9018","-123.0179"
561,"Trentwood","WA","47.6966","-117.2108"
562,"Mabton","WA","46.2115","-119.9938"
563,"Klickitat","WA","45.8180","-121.1626"
564,"Puyallup","WA","47.1794","-122.2902"
565,"Cinebar","WA","46.6043","-122.5318"
566,"San de Fuca","WA","48.2351","-122.7232"
567,"Cathlamet","WA","46.2056","-123.3835"
568,"Richardson","WA","48.4515","-122.8988"
569,"Sumner","WA","47.2189","-122.2338"
570,"Davenport","WA","47.6551","-118.1519"
571,"Cliffdell","WA","46.9213","-121.0420"
572,"Fall City","WA","47.5717","-121.9134"
573,"Dockton","WA","47.3718","-122.4593"
574,"Conway","WA","48.3356","-122.3444"
575,"Marshall","WA","47.5649","-117.4994"
576,"Walla Walla","WA","46.0670","-118.3365"
577,"Canterwood","WA","47.3766","-122.6022"
578,"Lexington","WA","46.1873","-122.9054"
579,"Country Homes","WA","47.7478","-117.4196"
580,"Altoona","WA","46.2699","-123.6144"
581,"South Cle Elum","WA","47.1862","-120.9525"
582,"Waldron","WA","48.6876","-123.0369"
583,"Chesaw","WA","48.9460","-119.0514"
584,"Sunnyslope","WA","47.5045","-122.7290"
585,"Olympic View","WA","47.6940","-122.7404"
586,"Hood","WA","45.7248","-121.5581"
587,"Elbe","WA","46.7652","-122.1946"
